Tracking Number,Type,Category,Subject,Status,Forwarded To,C/OF,Date,Time
"CTS-251014-003","Document","LEAVE","adad","Pending","ada","dadad","10/14/2025","09:41 AM"
"CTS-251014-002","Document","IAR","awdad","Completed","adad","aw","10/14/2025","09:27 AM"
"CTS-251014-001","Document","IAR","awdad","For Compliance","7","7","10/14/2025","08:33 AM"
"CTS-251013-020","Document","IAR","awdad","In Progress","sample","sa,mple","10/13/2025","01:44 PM"
"CTS-251013-019","Document","IAR","awdada","Pending","dada","dadad","10/13/2025","01:34 PM"
"CTS-251013-018","Document","IAR","adadad","Pending","awdad","adad","10/13/2025","01:32 PM"
"CTS-251013-017","Document","IAR","awdad","Pending","awda","dada","10/13/2025","01:14 PM"
"CTS-251013-016","Document","IAR","wdadada","Pending","","","10/13/2025","11:59 AM"
"CTS-251013-015","Document","IAR","wada","Pending","dad","adada","10/13/2025","11:53 AM"
"CTS-251013-014","Email","Email","awdwa","Pending","","","10/13/2025","11:52 AM"
"CTS-251013-013","Email","Email","awdad","Pending","","","10/13/2025","11:52 AM"
"CTS-251013-012","Email","Email","adadad","Pending","","","10/13/2025","11:51 AM"
"CTS-251013-011","Document","IAR","dadad","Pending","awda","dadada","10/13/2025","11:50 AM"
"CTS-251013-010","Document","IAR","adadad","Pending","awda","dadad","10/13/2025","11:49 AM"
"CTS-251013-009","Document","IAR","awda","Pending","dada","awdwa","10/13/2025","11:47 AM"
"CTS-251013-008","Document","IAR","adwada","Pending","awdawd","adad","10/13/2025","11:47 AM"
"CTS-251013-007","Document","IAR","awda","Pending","ada","dadad","10/13/2025","11:46 AM"
"CTS-251013-006","Document","IAR","ada","Pending","awda","adad","10/13/2025","11:45 AM"
"CTS-251013-005","Document","IAR","adad","Pending","aa","ad","10/13/2025","11:43 AM"
"CTS-251013-004","Document","IAR","awdad","Pending","","","10/13/2025","11:33 AM"
"CTS-251013-003","Document","IAR","adad","Pending","adad","adad","10/13/2025","11:32 AM"
"CTS-251013-002","Document","IAR","adwwada","Pending","","","10/13/2025","10:51 AM"
"CTS-251013-001","Document","IAR","awdad","Pending","","","10/13/2025","10:38 AM"
"CTS-251011-001","Document","ARE","PLDT BILLS","Pending","","","10/11/2025","02:44 PM"
"CTS-251010-006","Document","BILLS","PLDT","In Progress","","","10/10/2025","12:21 PM"
"CTS-251010-005","Document","BILLS","CONVERGE","Completed","","","10/10/2025","11:52 AM"
"CTS-251010-004","Document","BILLS","Debt","In Progress","","","10/10/2025","11:44 AM"
"CTS-251010-003","Document","BILLS","PLDT BILLS","Completed","","","10/10/2025","10:35 AM"
"CTS-251010-002","Document","PAAS","PLDT BILLS","Pending","","","10/10/2025","10:24 AM"
"CTS-251010-001","Document","BILLS","PLDT Bill","In Progress","","","10/10/2025","10:19 AM"
"CTS-251009-004","Email","Email","adad","In Progress","","","10/9/2025","03:02 PM"
"CTS-251009-003","Document","IAR","adadada","In Progress","","","10/9/2025","03:02 PM"
"CTS-251009-002","Email","Email","adad","In Progress","","","10/9/2025","03:01 PM"
"CTS-251009-001","Email","Email","awdada","Pending","","","10/9/2025","02:55 PM"
"N/A","Document","BILLS","Sample","Completed","","","10/9/2025","02:39 PM"
"N/A","Document","IAR","awdadad","Pending","","","10/9/2025","02:38 PM"
"N/A","Document","PAAS","sample docs","Pending","","","10/9/2025","02:21 PM"
"N/A","Email","Email","awdad","Pending","","","10/9/2025","02:09 PM"
"N/A","Email","Email","aadad","Pending","","","10/9/2025","01:08 PM"
"N/A","Email","Email","jkljklk","Pending","","","10/9/2025","12:56 PM"
"N/A","Email","Email","adada","Pending","","","10/9/2025","11:12 AM"
"N/A","Email","Email","adad","Pending","","","10/9/2025","09:30 AM"
"N/A","Email","Email","adad","Pending","","","10/9/2025","09:17 AM"
"N/A","Email","Email","adad","Pending","","","10/9/2025","09:08 AM"
"N/A","Email","Email","adad","Pending","","","10/9/2025","09:07 AM"
"N/A","Email","Email","adada","Pending","","","10/9/2025","09:05 AM"
"N/A","Email","Email","Sample","Pending","","","10/9/2025","08:56 AM"
"N/A","Email","Email","adwada","Pending","","","10/9/2025","08:54 AM"
"N/A","Email","Email","adad","Pending","","","10/9/2025","08:50 AM"
"N/A","Email","Email","adad","Pending","","","10/9/2025","08:49 AM"
"N/A","Email","Email","adad","Pending","","","10/9/2025","08:42 AM"
"N/A","Email","Email","adwad","Pending","","","10/9/2025","08:42 AM"
"N/A","Email","Email","sefesfs","Pending","","","10/9/2025","08:37 AM"
"N/A","Email","Email","adawdad","Pending","","","10/9/2025","08:33 AM"
"N/A","Email","Email","adadada","Pending","","","10/9/2025","08:26 AM"
"N/A","Email","Email","awdadadadadad","Pending","","","10/9/2025","08:26 AM"
"N/A","Email","Email","adawdad","Pending","","","10/9/2025","08:25 AM"
"N/A","Email","Email","Test","Pending","","","10/9/2025","08:07 AM"
"N/A","Email","Email","awdada","Pending","","","10/9/2025","08:06 AM"
"N/A","Email","Email","UIHIUhufs","Pending","","","10/9/2025","08:05 AM"
"N/A","Email","Email","adad","Pending","","","10/9/2025","08:05 AM"
"N/A","Email","Email","awdwadad","Pending","","","10/8/2025","04:26 PM"
"N/A","Email","Email","adadad","Pending","","","10/8/2025","04:24 PM"
